# The dynamic-linking scenario.
#
#   FEED_SCENARIO=tools/smoke/dyn.tsv sh tools/smoke/feed.sh <log> <seconds> <qemu command…>
#
# Driven by `just test-dynlink-x86`, which builds the loader and the C artifacts
# and injects all of them into the image (`DYNLINK_BINS`).
#
# One step per line, as `tools/smoke/scenario.tsv` documents: the command, a tab,
# and the whole line its output must produce.
#
# `/bin/dynhello` is a non-PIE `ET_EXEC` with `PT_INTERP /libexec/ld.so` and
# `DT_NEEDED` for two shared objects, one of which names the other — three times, by
# soname and by two paths to the same file. Its line holds one value per mechanism the
# loader has to get right:
#
#   dynlink-ok     libdyn's `JUMP_SLOT` — the main's PLT call, resolved by name;
#                  the value also depends on libdyn's own `DT_NEEDED` having been
#                  loaded, on its `JUMP_SLOT` into libdyn2 being resolved across
#                  objects, and on libdyn2's initialiser having run
#   dynlink-data   libdyn's `RELATIVE`, copied into the main by an
#                  `R_X86_64_COPY`: an unfixed pointer is a wild address
#   dynlink-2-ok   libdyn2's initialiser — the value is its uninitialised form
#                  until a constructor runs, so it is the order and the calling of
#                  constructors that this field is about
#   count=1        how many times that initialiser ran, counted in `libdyn.so` (the
#                  one object the executable names once, so the count is about
#                  libdyn2's mapping and not its own). `libdyn.so` names `libdyn2`
#                  three ways — `libdyn2.so` (a soname the loader has to search for),
#                  `/lib/libdyn2.so` and `/lib/./libdyn2.so` — and all three are one
#                  file, so the check is about the file and not the spelling. A second
#                  mapping would run the initialiser twice; it does not get that far
#                  here, because a third object does not fit the address space at all
#                  (`DYNAMIC_LINKING.md` §7 Phase 2), so the load dies instead. The
#                  field is a number so that every string on the line still comes from
#                  an object.
#
# None of those strings is in the executable: `just test-dynlink-x86` fails the
# gate if it is, which is what makes these lines evidence about the loader rather
# than about the program.
#
# The three steps differ only in the prefix, and each prefix can be produced by its
# own step alone — a whole-line match is anchored, and the harness scans the whole
# log, so a prefix that any earlier step printed would make a later step pass
# without running.
#
#   (none)  the plain line: load, relocate, run
#   fork    `child-ok` if a forked child could call into both objects and exit 0 —
#           the mappings survive a fork, not just an exec
#   exec    `re-exec-ok`, printed by the process that `dynhello exec` replaced
#           itself with: a second load of the same program works

/bin/dynhello	dynlink-ok dynlink-data dynlink-2-ok count=1
/bin/dynhello fork	child-ok dynlink-ok dynlink-data dynlink-2-ok count=1
/bin/dynhello exec	re-exec-ok dynlink-ok dynlink-data dynlink-2-ok count=1

# `/bin/dynclib` is a C program linked against `libc.so` rather than the static
# library: every libc symbol it calls is resolved by the loader before `main`.
# Three fields are about a mechanism the loader and `crt0` each have to get
# right, and each fails on its own if they do not.
#
# `errno` is a thread-local in that object, so reading it goes through the
# `__tls_get_addr` the loader supplies, against a block the loader laid out from
# the object's own `PT_TLS`. `msg` comes from `strerror`, which returns a pointer
# into a buffer inside `libc.so`, so it is that object's data, reached through a
# relocation the loader applied. `ctor` is the program's own constructor: `crt0`
# walks this image's `.init_array` itself, and the field is 0 if that walk is
# missing — which is what routing it through the C library used to do, since that
# resolves into the object's own, empty array.
#
# `just test-dynlink-x86` fails the gate if the executable contains the message,
# which is what makes the line evidence about `libc.so` rather than about the
# program: the program asks for the error number it just caused, and only the
# object can name it.
/bin/dynclib	libc-dyn-ok errno=2 msg=No such file or directory ctor=1
